name,type,start_time,duration,"mosi","miso"
"SPI","enable",0.00632309,2e-09,,
"SPI","result",0.006332004,7.5e-06,0x00,0x00
"SPI","result",0.006340002,7.502e-06,0x00,0x00
"SPI","disable",0.00634954,2e-09,,
"SPI","enable",0.006400012,2e-09,,
"SPI","result",0.006401112,7.5e-06,0x00,0x0B
"SPI","result",0.006409112,7.5e-06,0x00,0x7F
"SPI","disable",0.006418648,2e-09,,
"SPI","enable",0.00659534,2e-09,,
"SPI","result",0.006604254,7.5e-06,0x00,0x00
"SPI","result",0.006612252,7.502e-06,0x00,0x00
"SPI","disable",0.00662179,2e-09,,
"SPI","enable",0.006672348,2e-09,,
"SPI","result",0.00667345,7.5e-06,0x00,0x0B
"SPI","result",0.00668145,7.5e-06,0x00,0x7F
"SPI","disable",0.006690986,2e-09,,
"SPI","enable",0.006871614,2e-09,,
"SPI","result",0.006880528,7.5e-06,0x00,0x00
"SPI","result",0.006888528,7.5e-06,0x00,0x00
"SPI","disable",0.006898064,2e-09,,
"SPI","enable",0.006948986,2e-09,,
"SPI","result",0.006950088,7.5e-06,0x00,0x0B
"SPI","result",0.006958088,7.5e-06,0x00,0x7E
"SPI","disable",0.006967624,2e-09,,
"SPI","enable",0.007157514,2e-09,,
"SPI","result",0.007166428,7.5e-06,0x00,0x80
"SPI","result",0.007174428,7.5e-06,0x00,0x00
"SPI","disable",0.007183964,2e-09,,
"SPI","enable",0.007234974,2e-09,,
"SPI","result",0.007236076,7.5e-06,0x00,0x4B
"SPI","result",0.007244074,7.502e-06,0x00,0x7E
"SPI","disable",0.007253612,2e-09,,
"SPI","enable",0.007434452,2e-09,,
"SPI","result",0.007443366,7.5e-06,0x00,0x00
"SPI","result",0.007451364,7.502e-06,0x00,0x00
"SPI","disable",0.007460902,2e-09,,
"SPI","enable",0.007511912,2e-09,,
"SPI","result",0.007513012,7.502e-06,0x00,0x0B
"SPI","result",0.007521012,7.5e-06,0x00,0x7F
"SPI","disable",0.007530548,2e-09,,
"SPI","enable",0.007707152,2e-09,,
"SPI","result",0.007716066,7.5e-06,0x00,0x00
"SPI","result",0.007724066,7.5e-06,0x00,0x00
"SPI","disable",0.007733602,2e-09,,
"SPI","enable",0.007783986,2e-09,,
"SPI","result",0.007785088,7.5e-06,0x00,0x0B
"SPI","result",0.007793088,7.5e-06,0x00,0x7E
"SPI","disable",0.007802624,2e-09,,
"SPI","enable",0.007983252,2e-09,,
"SPI","result",0.007992166,7.5e-06,0x00,0x80
"SPI","result",0.008000166,7.5e-06,0x00,0x00
"SPI","disable",0.008009702,2e-09,,
"SPI","enable",0.008060086,2e-09,,
"SPI","result",0.008061188,7.5e-06,0x00,0x4B
"SPI","result",0.008069188,7.5e-06,0x00,0x7F
"SPI","disable",0.008078724,2e-09,,
"SPI","enable",0.008262816,2e-09,,
"SPI","result",0.00827173,7.5e-06,0x00,0x80
"SPI","result",0.008279728,7.5e-06,0x00,0x00
"SPI","disable",0.008289264,2e-09,,
"SPI","enable",0.008340274,2e-09,,
"SPI","result",0.008341376,7.5e-06,0x00,0x0B
"SPI","result",0.008349374,7.502e-06,0x00,0x7E
"SPI","disable",0.008358912,2e-09,,
"SPI","enable",0.018779358,2e-09,,
"SPI","result",0.018788272,7.5e-06,0x00,0x80
"SPI","result",0.01879627,7.502e-06,0x00,0x00
"SPI","disable",0.018805808,2e-09,,
"SPI","enable",0.018856368,2e-09,,
"SPI","result",0.018857468,7.5e-06,0x00,0x0B
"SPI","result",0.018865468,7.5e-06,0x00,0x80
"SPI","disable",0.018875004,2e-09,,
"SPI","enable",0.019051896,2e-09,,
"SPI","result",0.01906081,7.5e-06,0x00,0x00
"SPI","result",0.019068808,7.502e-06,0x00,0x00
"SPI","disable",0.019078346,2e-09,,
"SPI","enable",0.019128468,2e-09,,
"SPI","result",0.019129568,7.5e-06,0x00,0x0B
"SPI","result",0.019137568,7.5e-06,0x00,0x7E
"SPI","disable",0.019147154,2e-09,,
"SPI","enable",0.019327608,2e-09,,
"SPI","result",0.019336522,7.5e-06,0x00,0x80
"SPI","result",0.019344522,7.5e-06,0x00,0x00
"SPI","disable",0.019354058,2e-09,,
"SPI","enable",0.01940453,2e-09,,
"SPI","result",0.01940563,7.502e-06,0x00,0x0B
"SPI","result",0.01941363,7.502e-06,0x00,0x7F
"SPI","disable",0.019423166,2e-09,,
"SPI","enable",0.019599772,2e-09,,
"SPI","result",0.019608684,7.502e-06,0x00,0x00
"SPI","result",0.019616684,7.5e-06,0x00,0x00
"SPI","disable",0.01962622,2e-09,,
"SPI","enable",0.019676606,2e-09,,
"SPI","result",0.019677706,7.5e-06,0x00,0x0B
"SPI","result",0.019685706,7.5e-06,0x00,0x7E
"SPI","disable",0.019695242,2e-09,,
"SPI","enable",0.019875784,2e-09,,
"SPI","result",0.019884698,7.5e-06,0x00,0x80
"SPI","result",0.019892696,7.502e-06,0x00,0x00
"SPI","disable",0.019902234,2e-09,,
"SPI","enable",0.019952256,2e-09,,
"SPI","result",0.019953356,7.502e-06,0x00,0x0B
"SPI","result",0.019961356,7.5e-06,0x00,0x80
"SPI","disable",0.019970892,2e-09,,
"SPI","enable",0.02016457,2e-09,,
"SPI","result",0.020173484,7.5e-06,0x00,0x00
"SPI","result",0.020181484,7.5e-06,0x00,0x00
"SPI","disable",0.02019102,2e-09,,
"SPI","enable",0.020241492,2e-09,,
"SPI","result",0.020242594,7.5e-06,0x00,0x0B
"SPI","result",0.020250594,7.5e-06,0x00,0x7E
"SPI","disable",0.02026013,2e-09,,
"SPI","enable",0.020440672,2e-09,,
"SPI","result",0.020449584,7.5e-06,0x00,0x80
"SPI","result",0.020457584,7.5e-06,0x00,0x00
"SPI","disable",0.02046712,2e-09,,
"SPI","enable",0.020517592,2e-09,,
"SPI","result",0.020518694,7.5e-06,0x00,0x0B
"SPI","result",0.020526694,7.5e-06,0x00,0x7E
"SPI","disable",0.02053623,2e-09,,
"SPI","enable",0.020712834,2e-09,,
"SPI","result",0.020721748,7.5e-06,0x00,0x80
"SPI","result",0.020729746,7.502e-06,0x00,0x00
"SPI","disable",0.020739284,2e-09,,
"SPI","enable",0.020790292,2e-09,,
"SPI","result",0.020791394,7.5e-06,0x00,0x0B
"SPI","result",0.020799394,7.5e-06,0x00,0x7E
"SPI","disable",0.02080893,2e-09,,
"SPI","enable",0.020989472,2e-09,,
"SPI","result",0.020998386,7.5e-06,0x00,0x80
"SPI","result",0.021006384,7.502e-06,0x00,0x00
"SPI","disable",0.021015922,2e-09,,
"SPI","enable",0.021066394,2e-09,,
"SPI","result",0.021067494,7.5e-06,0x00,0x0B
"SPI","result",0.021075494,7.5e-06,0x00,0x7F
"SPI","disable",0.02108503,2e-09,,
"SPI","enable",0.02126906,2e-09,,
"SPI","result",0.021277972,7.5e-06,0x00,0x00
"SPI","result",0.021285972,7.5e-06,0x00,0x00
"SPI","disable",0.021295508,2e-09,,
"SPI","enable",0.021346518,2e-09,,
"SPI","result",0.02134762,7.5e-06,0x00,0x0B
"SPI","result",0.021355618,7.502e-06,0x00,0x7F
"SPI","disable",0.021365156,2e-09,,
"SPI","enable",0.021545696,2e-09,,
"SPI","result",0.02155461,7.5e-06,0x00,0x00
"SPI","result",0.02156261,7.5e-06,0x00,0x00
"SPI","disable",0.021572146,2e-09,,
"SPI","enable",0.021622168,2e-09,,
"SPI","result",0.02162327,7.5e-06,0x00,0x0B
"SPI","result",0.021631268,7.502e-06,0x00,0x7F
"SPI","disable",0.021640806,2e-09,,
"SPI","enable",0.021817498,2e-09,,
"SPI","result",0.02182641,7.5e-06,0x00,0x00
"SPI","result",0.02183441,7.5e-06,0x00,0x00
"SPI","disable",0.021843946,2e-09,,
"SPI","enable",0.021894418,2e-09,,
"SPI","result",0.02189552,7.5e-06,0x00,0x4B
"SPI","result",0.02190352,7.5e-06,0x00,0x7E
"SPI","disable",0.021913056,2e-09,,
"SPI","enable",0.022093598,2e-09,,
"SPI","result",0.022102512,7.5e-06,0x00,0x00
"SPI","result",0.02211051,7.5e-06,0x00,0x00
"SPI","disable",0.022122446,2e-09,,
"SPI","enable",0.022173406,2e-09,,
"SPI","result",0.022174508,7.5e-06,0x00,0x0B
"SPI","result",0.022182506,7.502e-06,0x00,0x7F
"SPI","disable",0.022192044,2e-09,,
"SPI","enable",0.02236856,2e-09,,
"SPI","result",0.022377474,7.5e-06,0x00,0x00
"SPI","result",0.022385472,7.502e-06,0x00,0x00
"SPI","disable",0.02239501,2e-09,,
"SPI","enable",0.022445482,2e-09,,
"SPI","result",0.022446582,7.502e-06,0x00,0x4B
"SPI","result",0.022454582,7.5e-06,0x00,0x7F
"SPI","disable",0.022464118,2e-09,,
"SPI","enable",0.02264466,2e-09,,
"SPI","result",0.022653574,7.5e-06,0x00,0x80
"SPI","result",0.022661572,7.502e-06,0x00,0x00
"SPI","disable",0.02267111,2e-09,,
"SPI","enable",0.022721132,2e-09,,
"SPI","result",0.022722232,7.502e-06,0x00,0x0B
"SPI","result",0.022730232,7.502e-06,0x00,0x7F
"SPI","disable",0.022739768,2e-09,,
"SPI","enable",0.02291646,2e-09,,
"SPI","result",0.022925374,7.5e-06,0x00,0x00
"SPI","result",0.022933374,7.5e-06,0x00,0x00
"SPI","disable",0.02294291,2e-09,,
"SPI","enable",0.022993382,2e-09,,
"SPI","result",0.022994484,7.5e-06,0x00,0x0B
"SPI","result",0.023002482,7.502e-06,0x00,0x7F
"SPI","disable",0.02301202,2e-09,,
"SPI","enable",0.023206822,2e-09,,
"SPI","result",0.023215736,7.5e-06,0x00,0x00
"SPI","result",0.023223736,7.5e-06,0x00,0x00
"SPI","disable",0.023233272,2e-09,,
"SPI","enable",0.023284282,2e-09,,
"SPI","result",0.023285382,7.502e-06,0x00,0x0B
"SPI","result",0.023293382,7.5e-06,0x00,0x7E
"SPI","disable",0.023302918,2e-09,,
"SPI","enable",0.023479522,2e-09,,
"SPI","result",0.023488436,7.5e-06,0x00,0x80
"SPI","result",0.023496436,7.5e-06,0x00,0x00
"SPI","disable",0.023505972,2e-09,,
"SPI","enable",0.023556356,2e-09,,
"SPI","result",0.023557458,7.5e-06,0x00,0x0B
"SPI","result",0.023565458,7.5e-06,0x00,0x7F
"SPI","disable",0.023574994,2.00000001e-09,,
"SPI","enable",0.023755536,2e-09,,
"SPI","result",0.02376445,7.5e-06,0x00,0x00
"SPI","result",0.023772448,7.502e-06,0x00,0x00
"SPI","disable",0.023781984,2e-09,,
"SPI","enable",0.023832456,2.00000001e-09,,
"SPI","result",0.023833558,7.5e-06,0x00,0x4B
"SPI","result",0.023841558,7.5e-06,0x00,0x7F
"SPI","disable",0.023851094,2e-09,,
"SPI","enable",0.024027686,2e-09,,
"SPI","result",0.0240366,7.5e-06,0x00,0x80
"SPI","result",0.024044598,7.502e-06,0x00,0x00
"SPI","disable",0.024054134,2e-09,,
"SPI","enable",0.024105146,2e-09,,
"SPI","result",0.024106246,7.5e-06,0x00,0x0B
"SPI","result",0.024114246,7.5e-06,0x00,0x80
"SPI","disable",0.024124032,2e-09,,
"SPI","enable",0.024311886,2e-09,,
"SPI","result",0.0243208,7.5e-06,0x00,0x00
"SPI","result",0.024328798,7.502e-06,0x00,0x00
"SPI","disable",0.024338334,2e-09,,
"SPI","enable",0.024389344,2e-09,,
"SPI","result",0.024390446,7.5e-06,0x00,0x0B
"SPI","result",0.024398446,7.5e-06,0x00,0x7F
"SPI","disable",0.024407982,2e-09,,
"SPI","enable",0.024584586,2e-09,,
"SPI","result",0.0245935,7.5e-06,0x00,0x00
"SPI","result",0.024601498,7.502e-06,0x00,0x00
"SPI","disable",0.024611036,2e-09,,
"SPI","enable",0.02466142,2e-09,,
"SPI","result",0.024662522,7.5e-06,0x00,0x0B
"SPI","result",0.02467052,7.502e-06,0x00,0x80
"SPI","disable",0.024680058,2e-09,,
"SPI","enable",0.024860598,2e-09,,
"SPI","result",0.024869512,7.5e-06,0x00,0x00
"SPI","result",0.024877512,7.5e-06,0x00,0x00
"SPI","disable",0.024887048,2e-09,,
"SPI","enable",0.02493707,2e-09,,
"SPI","result",0.024938172,7.5e-06,0x00,0x0B
"SPI","result",0.02494617,7.502e-06,0x00,0x7E
"SPI","disable",0.024955708,2e-09,,
"SPI","enable",0.025143348,2e-09,,
"SPI","result",0.025152262,7.5e-06,0x00,0x80
"SPI","result",0.025160262,7.5e-06,0x00,0x00
"SPI","disable",0.025169798,2e-09,,
"SPI","enable",0.02522027,2e-09,,
"SPI","result",0.025221372,7.5e-06,0x00,0x0B
"SPI","result",0.02522937,7.502e-06,0x00,0x7E
"SPI","disable",0.025238908,2e-09,,
"SPI","enable",0.025419448,2e-09,,
"SPI","result",0.025428362,7.5e-06,0x00,0x80
"SPI","result",0.025436362,7.5e-06,0x00,0x00
"SPI","disable",0.025445898,2e-09,,
"SPI","enable",0.02549637,2e-09,,
"SPI","result",0.025497472,7.5e-06,0x00,0x4B
"SPI","result",0.02550547,7.502e-06,0x00,0x7F
"SPI","disable",0.025515008,2e-09,,
"SPI","enable",0.03591428,2e-09,,
"SPI","result",0.035923194,7.5e-06,0x00,0x80
"SPI","result",0.035931192,7.502e-06,0x00,0x00
"SPI","disable",0.035940728,1.99999999e-09,,
"SPI","enable",0.03599165,2e-09,,
"SPI","result",0.035992752,7.5e-06,0x00,0x0B
"SPI","result",0.036000752,7.5e-06,0x00,0x80
"SPI","disable",0.036010288,1.99999999e-09,,
"SPI","enable",0.036206266,2e-09,,
"SPI","result",0.03621518,7.5e-06,0x00,0x00
"SPI","result",0.03622318,7.5e-06,0x00,0x00
"SPI","disable",0.036232716,2e-09,,
"SPI","enable",0.036283638,1.99999999e-09,,
"SPI","result",0.03628474,7.5e-06,0x00,0x0B
"SPI","result",0.036292738,7.502e-06,0x00,0x80
"SPI","disable",0.036302276,2e-09,,
"SPI","enable",0.036478866,2e-09,,
"SPI","result",0.03648778,7.5e-06,0x00,0x00
